Player;Role;Team;Opponent_Team;Opponent_Player;Date;Round;Day;Patch;Stage;No_Game;all_Games;Format;Game_of_day;Side;Time;Ban;Ban_Opponent;Pick;Pick_Opponent;Champion;Champion_Opponent;Outcome;Kills_Team;Turrets_Team;Dragon_Team;Baron_Team;Level;Kills;Deaths;Assists;KDA;CS;CS in Team's Jungle;CS in Enemy Jungle;CSM;Golds;GPM;GOLD%;Vision Score;Wards placed;Wards destroyed;Control Wards Purchased;Detector Wards Placed;VSPM;WPM;VWPM;WCPM;VS%;Total damage to Champion;Physical Damage;Magic Damage;True Damage;DPM;DMG%;K+A Per Minute;KP%;Solo kills;Double kills;Triple kills;Quadra kills;Penta kills;GD@15;CSD@15;XPD@15;LVLD@15;Objectives Stolen;Damage dealt to turrets;Damage dealt to buildings;Total heal;Total Heals On Teammates;Damage self mitigated;Total Damage Shielded On Teammates;Time ccing others;Total Time CC Dealt;Total damage taken;Total Time Spent Dead;Consumables purchased;Items Purchased;Shutdown bounty collected;Shutdown bounty lost
Zeus;TOP;T1;DK;kingen;12.09.2024;1;1;v14.16;Regional_Finals_2024;1;5;5;1;Blue;00:42:31;Vi;Azir;Rumble;Ziggs;Rumble;Camille;Win;16;9;5;1;18;4;5;7;2.2;262;6;0;6.2;14626;344;0.185;52;24;3;9;9;1.22;0.56;0.21;0.07;0.118;25426;477;22562;2387;598;0.284;0.26;0.688;1;1;0;0;0;1377;33;1066;1;0;347;347;3457;0;23062;0;13;350;21051;147;13;35;0;200
Oner;JUNGLE;T1;DK;Lucid;12.09.2024;1;1;v14.16;Regional_Finals_2024;1;5;5;1;Blue;00:42:31;Smolder;Jhin;Yone;Corki;Nocturne;Maokai;Win;16;9;5;1;17;5;3;6;3.7;243;210;0;5.7;15385;362;0.194;77;27;12;11;11;1.81;0.64;0.26;0.28;0.175;17168;12417;896;3855;404;0.192;0.26;0.688;0;1;0;0;0;334;3;321;0;0;1304;1304;25046;0;35207;0;155;672;43147;107;12;39;900;0
Faker;MID;T1;DK;ShowMaker;12.09.2024;1;1;v14.16;Regional_Finals_2024;1;5;5;1;Blue;00:42:31;Nasus;Tristana;Miss_Fortune;Maokai;Yone;Corki;Win;16;9;5;1;18;3;3;8;3.7;364;29;0;8.6;17692;416;0.224;34;15;3;7;6;0.8;0.35;0.16;0.07;0.077;19886;12492;4536;2858;468;0.222;0.26;0.688;0;0;0;0;0;-58;-25;-575;0;0;2938;2938;9017;0;30650;0;14;227;23888;126;9;31;450;250
Gumayusi;ADCARRY;T1;DK;Aiming;12.09.2024;1;1;v14.16;Regional_Finals_2024;1;5;5;1;Blue;00:42:31;KSante;Sejuani;Nocturne;Leona;Miss_Fortune;Ziggs;Win;16;9;5;1;18;4;2;2;3;484;56;0;11.4;20359;479;0.257;50;16;16;3;3;1.18;0.38;0.07;0.38;0.113;20306;18204;913;1189;478;0.227;0.14;0.375;0;0;0;0;0;-130;4;-114;0;1;11581;11581;6045;0;24245;0;6;216;11867;47;4;22;0;150
Keria;SUPPORT;T1;DK;Moham;12.09.2024;1;1;v14.16;Regional_Finals_2024;1;5;5;1;Blue;00:42:31;Jax;Skarner;Bard;Camille;Bard;Leona;Win;16;9;5;1;14;0;2;8;4;48;0;0;1.1;11040;260;0.14;228;140;31;32;32;5.36;3.29;0.75;0.73;0.517;6834;1547;5020;267;161;0.076;0.19;0.5;0;0;0;0;0;117;-5;489;1;0;2753;2753;8290;4005;16456;778;52;232;18683;75;35;54;0;0
kingen;TOP;DK;T1;Zeus;12.09.2024;1;1;v14.16;Regional_Finals_2024;1;5;5;1;Red;00:42:31;Azir;Vi;Ziggs;Rumble;Camille;Rumble;Loss;15;6;1;1;18;3;4;6;2.3;257;8;0;6;14200;334;0.194;40;13;15;11;9;0.94;0.31;0.26;0.35;0.099;13823;7174;1626;5023;325;0.175;0.21;0.6;0;0;0;0;0;-1377;-33;-1066;-1;0;4591;4591;5063;0;41757;0;14;344;35965;110;12;33;0;100
Lucid;JUNGLE;DK;T1;Oner;12.09.2024;1;1;v14.16;Regional_Finals_2024;1;5;5;1;Red;00:42:31;Jhin;Smolder;Corki;Yone;Maokai;Nocturne;Loss;15;6;1;1;15;0;2;10;5;188;152;0;4.4;11771;277;0.161;78;18;25;18;16;1.83;0.42;0.42;0.59;0.193;8659;349;7902;408;204;0.11;0.24;0.667;0;0;0;0;0;-334;-3;-321;0;0;211;211;21560;0;43590;1294;62;548;42157;95;19;38;0;0
ShowMaker;MID;DK;T1;Faker;12.09.2024;1;1;v14.16;Regional_Finals_2024;1;5;5;1;Red;00:42:31;Tristana;Nasus;Maokai;Miss_Fortune;Corki;Yone;Loss;15;6;1;1;18;8;3;1;3;411;38;0;9.7;19273;453;0.263;74;15;33;4;4;1.74;0.35;0.09;0.78;0.183;21946;15674;4326;1946;516;0.278;0.21;0.6;1;1;0;0;0;58;25;575;0;0;6210;6210;4857;0;13799;0;1;90;18473;113;6;25;450;900
Aiming;ADCARRY;DK;T1;Gumayusi;12.09.2024;1;1;v14.16;Regional_Finals_2024;1;5;5;1;Red;00:42:31;Sejuani;KSante;Leona;Nocturne;Ziggs;Miss_Fortune;Loss;15;6;1;1;18;3;2;8;5.5;406;29;0;9.5;17890;421;0.244;28;16;5;5;5;0.66;0.38;0.12;0.12;0.069;27208;851;26207;150;640;0.345;0.26;0.733;0;0;0;0;0;130;-4;114;0;0;6822;6822;1712;0;11152;0;15;472;14646;38;8;31;150;350
Moham;SUPPORT;DK;T1;Keria;12.09.2024;1;1;v14.16;Regional_Finals_2024;1;5;5;1;Red;00:42:31;Skarner;Jax;Camille;Bard;Leona;Bard;Loss;15;6;1;1;12;1;5;9;2;49;0;0;1.2;10178;239;0.139;185;102;31;30;28;4.35;2.4;0.71;0.73;0.457;7204;1406;4806;992;169;0.091;0.24;0.667;0;0;0;0;0;-117;5;-489;-1;0;974;974;818;0;20571;0;35;86;23814;108;32;50;0;0
kingen;TOP;DK;T1;Zeus;12.09.2024;1;1;v14.16;Regional_Finals_2024;2;5;5;2;Blue;00:34:01;Azir;Vi;Ziggs;Corki;KSante;Jax;Win;14;8;2;0;16;2;3;3;1.7;269;8;0;7.9;12465;366;0.196;36;18;6;9;8;1.06;0.53;0.26;0.18;0.112;10458;8224;1699;535;307;0.121;0.15;0.357;0;0;0;0;0;788;26;1116;1;0;3197;3197;1282;0;36072;333;17;2028;19653;143;10;31;350;0
Lucid;JUNGLE;DK;T1;Oner;12.09.2024;1;1;v14.16;Regional_Finals_2024;2;5;5;2;Blue;00:34:01;Sejuani;Smolder;Tristana;Maokai;Ivern;Maokai;Win;14;8;2;0;15;0;0;13;Perfect_KDA;154;132;0;4.5;10330;304;0.162;86;41;17;11;11;2.53;1.21;0.32;0.5;0.267;7340;2246;3316;1778;216;0.085;0.38;0.929;0;0;0;0;0;-409;-23;-772;-1;0;283;283;7702;1232;10438;7271;46;301;11786;0;12;29;0;0
ShowMaker;MID;DK;T1;Faker;12.09.2024;1;1;v14.16;Regional_Finals_2024;2;5;5;2;Blue;00:34:01;Jhin;Rumble;Ivern;Jax;Tristana;Corki;Win;14;8;2;0;17;9;2;3;6;322;10;0;9.5;17238;507;0.271;52;14;18;4;4;1.53;0.41;0.12;0.53;0.161;30613;28745;1868;0;900;0.354;0.35;0.857;0;2;1;0;0;488;-13;-540;-1;0;6847;6847;10212;0;14560;0;3;60;18636;92;5;26;900;300
Aiming;ADCARRY;DK;T1;Gumayusi;12.09.2024;1;1;v14.16;Regional_Finals_2024;2;5;5;2;Blue;00:34:01;Miss_Fortune;Gangplank;KSante;Alistar;Ziggs;Sivir;Win;14;8;2;0;17;3;0;11;Perfect_KDA;326;8;0;9.6;15322;450;0.241;22;9;8;1;1;0.65;0.26;0.03;0.24;0.068;31607;1767;29840;0;929;0.365;0.41;1;0;1;0;0;0;-262;-27;-1620;-1;0;13012;13012;2745;626;6228;0;23;427;11978;0;3;22;100;0
